REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2024/05/01 00:05:00,5737.46,87.42,TRADE
QLD1,2024/05/01 00:10:00,5781.31,87.99,TRADE
QLD1,2024/05/01 00:15:00,5726.56,87.91,TRADE
QLD1,2024/05/01 00:20:00,5693.06,87.86,TRADE
QLD1,2024/05/01 00:25:00,5706.07,85.60,TRADE
QLD1,2024/05/01 00:30:00,5655.75,85.60,TRADE
QLD1,2024/05/01 00:35:00,5700.05,85.60,TRADE
QLD1,2024/05/01 00:40:00,5650.63,85.55,TRADE
QLD1,2024/05/01 00:45:00,5698.36,89.39,TRADE
QLD1,2024/05/01 00:50:00,5662.52,85.60,TRADE
QLD1,2024/05/01 00:55:00,5625.36,61.82,TRADE
QLD1,2024/05/01 01:00:00,5623.51,67.71,TRADE
QLD1,2024/05/01 01:05:00,5580.43,59.60,TRADE
QLD1,2024/05/01 01:10:00,5618.3,61.37,TRADE
QLD1,2024/05/01 01:15:00,5534.07,60.89,TRADE
QLD1,2024/05/01 01:20:00,5511.93,59.55,TRADE
QLD1,2024/05/01 01:25:00,5566.99,60.91,TRADE
QLD1,2024/05/01 01:30:00,5552.43,59.60,TRADE
QLD1,2024/05/01 01:35:00,5527.61,51.29,TRADE
QLD1,2024/05/01 01:40:00,5512.72,59.55,TRADE
QLD1,2024/05/01 01:45:00,5521.86,83.40,TRADE
QLD1,2024/05/01 01:50:00,5519.86,75.53,TRADE
QLD1,2024/05/01 01:55:00,5486.73,82.77,TRADE
QLD1,2024/05/01 02:00:00,5512.92,76.18,TRADE
QLD1,2024/05/01 02:05:00,5562,85.55,TRADE
QLD1,2024/05/01 02:10:00,5475.38,74.85,TRADE
QLD1,2024/05/01 02:15:00,5469.68,85.55,TRADE
QLD1,2024/05/01 02:20:00,5466.55,59.60,TRADE
QLD1,2024/05/01 02:25:00,5443.47,73.46,TRADE
QLD1,2024/05/01 02:30:00,5458.31,85.55,TRADE
QLD1,2024/05/01 02:35:00,5470.01,81.39,TRADE
QLD1,2024/05/01 02:40:00,5477.83,59.55,TRADE
QLD1,2024/05/01 02:45:00,5455.17,64.04,TRADE
QLD1,2024/05/01 02:50:00,5467.58,75.17,TRADE
QLD1,2024/05/01 02:55:00,5434.68,59.55,TRADE
